id,question,options,correct_option
0,"Какой из перечислиных видов кофе более крепкий?","Арабика,Либерика,Робуста,Эксцельза",2
1,"Какая высота произростания Арабики?","до 900м,от 900м,от 1200м,от 1500м",1
2,"Что влияет на вкус кофе?","Обжарка,Помол,Темперовка,Все перечисленное",3
3,"Эспрессо выварился быстро и на вкус кислый. Что нужно изменить?","Уменьшить помол,Увеличить помол, Сменить зерно,Сменить профессию",0
4,"Какая главная цель бариста?","Заработать,Работать,Выжить,Познакомить гостей с кофе",3
5,"Чем флет-уайт отличается от латте и капучино?","'Плоская' пена,Зерно,Помол,Темперовка",0
6,"В чем гость всегда прав?","Во всем,Ни в чем,Во вкусе,Незнаю",2
7,"Какая средняя цена 1 кг обжаренного кофе?","500р.,1000р.,3000р.,5000р.",2
8,"Что такое американо?","Фильтр кофе,Эспрессо с водой,Холодный кофе,Вид кофе 3в1",1
9,"Должен ли бариста разбираться в кофе?","Да,Нет,Наверное,Незнаю",0
